date,open,high,low,close,volume,<VOL>,<SPREAD>,candle_type,body_ratio
2018-07-25,1.16805,1.17385,1.16642,1.17304,38904,0,0,decisive,0.6716016150740266
2018-07-26,1.17304,1.17435,1.16401,1.16419,37810,0,0,explosive,0.855899419729208
2018-07-27,1.16418,1.16641,1.16204,1.16564,34700,0,0,base,0.3340961098398219
2018-07-30,1.16533,1.17187,1.16479,1.17055,28412,0,0,decisive,0.7372881355932233
2018-07-31,1.17043,1.17456,1.1689,1.16967,36840,0,0,base,0.13427561837457494
2018-08-01,1.16917,1.16994,1.16571,1.16608,35690,0,0,decisive,0.7304964539007256
2018-08-02,1.16608,1.16675,1.15822,1.15855,32749,0,0,explosive,0.8827667057444433
2018-08-03,1.15838,1.16104,1.15602,1.1566,34439,0,0,base,0.35458167330674983
2018-08-06,1.15666,1.15707,1.15302,1.15537,26923,0,0,base,0.31851851851851326
2018-08-07,1.15517,1.1608,1.15502,1.15981,28842,0,0,explosive,0.8027681660899451
2018-08-08,1.15977,1.1628,1.15731,1.161,29403,0,0,base,0.22404371584700647
2018-08-09,1.16127,1.16192,1.15259,1.15299,32460,0,0,explosive,0.8874598070739562
2018-08-10,1.15286,1.15364,1.1388,1.14082,48704,0,0,explosive,0.8113207547169865
2018-08-13,1.13775,1.14326,1.13649,1.14076,45154,0,0,base,0.44460856720826925
2018-08-14,1.14103,1.14293,1.13303,1.13425,39999,0,0,decisive,0.6848484848484843
2018-08-15,1.13423,1.13548,1.13009,1.13462,40765,0,0,base,0.07235621521333767
2018-08-16,1.13457,1.14087,1.1336,1.13737,43548,0,0,base,0.3851444291609177
2018-08-17,1.13747,1.14446,1.13663,1.14418,37169,0,0,explosive,0.8569604086845454
2018-08-20,1.14372,1.14848,1.13944,1.14843,31236,0,0,decisive,0.521017699115047
2018-08-21,1.14805,1.16012,1.14799,1.15717,40581,0,0,decisive,0.7518549051937375
2018-08-22,1.1569,1.16228,1.15534,1.15957,36986,0,0,base,0.3847262247838575
2018-08-23,1.15954,1.15992,1.153,1.15446,38000,0,0,decisive,0.7341040462427668
2018-08-24,1.15446,1.16394,1.15347,1.16215,36077,0,0,decisive,0.7344794651384899
2018-08-27,1.16198,1.16933,1.15946,1.16795,31798,0,0,decisive,0.6048632218844988
2018-08-28,1.16785,1.17333,1.16625,1.16931,36572,0,0,base,0.20621468926553982
2018-08-29,1.16931,1.17097,1.1652,1.17083,36750,0,0,base,0.26343154246099687
2018-08-30,1.17066,1.1718,1.16416,1.1666,38428,0,0,decisive,0.531413612565448
2018-08-31,1.16673,1.16897,1.15845,1.16076,41242,0,0,decisive,0.5674904942965763
2018-09-03,1.15951,1.16276,1.15896,1.1617,26232,0,0,decisive,0.5763157894736578
2018-09-04,1.1617,1.16174,1.153,1.15832,35916,0,0,base,0.38672768878717967
2018-09-05,1.15814,1.16381,1.15429,1.16313,37753,0,0,decisive,0.5241596638655529
2018-09-06,1.16321,1.16588,1.16056,1.16235,40346,0,0,base,0.1616541353383617
2018-09-07,1.16235,1.16493,1.15506,1.15536,38142,0,0,decisive,0.7082066869300931
2018-09-10,1.15507,1.16154,1.1526,1.1596,30426,0,0,decisive,0.5067114093959675
2018-09-11,1.15936,1.16435,1.15652,1.16039,33411,0,0,base,0.13154533844190114
2018-09-12,1.16039,1.16495,1.157,1.16269,33869,0,0,base,0.2893081761006286
2018-09-13,1.16259,1.17008,1.1609,1.16897,32315,0,0,decisive,0.6949891067538209
2018-09-14,1.16899,1.17215,1.16205,1.16215,32782,0,0,decisive,0.6772277227722732
